,country,region_1,variety,points_median,location,address,point,latitude,longitude,altitude
595,Italy,Cortese di Gavi,Cortese,86.0,"Cortese di Gavi, Italy","B&B Borgo Cortese, Via venti Settembre, Valrossara, Gavi, Alessandria, Piemonte, 15066, Italia","(44.6877462, 8.8036712, 0.0)",44.6877462,8.8036712,0.0
596,Italy,Cortona,Syrah,90.5,"Cortona, Italy","Cortona, Arezzo, Toscana, 52044, Italia","(43.2752976, 11.9850623, 0.0)",43.2752976,11.9850623,0.0
597,Italy,Costa Toscana,White Blend,91.0,"Costa Toscana, Italy","la Costa, Sillano Giuncugnano, Unione Comuni Garfagnana, Lucca, Toscana, 54021, Italia","(44.2091823, 10.2612037, 0.0)",44.2091823,10.2612037,0.0
598,Italy,Costa d'Amalfi,White Blend,87.0,"Costa d'Amalfi, Italy","Aeroporto di Salerno - Costa d'Amalfi, Via dell'Olmo, Bivio Pratole, Bellizzi, Salerno, Campania, 84090, Italia","(40.61887125, 14.911103145423613, 0.0)",40.61887125,14.911103145423613,0.0
599,Italy,Coste della Sesia,Rosato,90.0,"Coste della Sesia, Italy",,,,,
600,Italy,Curtefranca,Red Blend,89.0,"Curtefranca, Italy",,,,,
601,Italy,Custoza,White Blend,85.0,"Custoza, Italy","Custoza, Verona, Veneto, 37069, Italia","(45.376982, 10.7962743, 0.0)",45.376982,10.7962743,0.0
602,Italy,Custoza Superiore,White Blend,87.0,"Custoza Superiore, Italy","Via Custoza, Pezzo Superiore, Villa San Giovanni, Reggio di Calabria, Calabria, 89018, Italia","(38.2214929, 15.6344578, 0.0)",38.2214929,15.6344578,0.0
603,Italy,Del Veneto,Corvina,86.0,"Del Veneto, Italy","Veneto, Italia","(45.6476663, 11.8665254, 0.0)",45.6476663,11.8665254,0.0
604,Italy,Delia Nivolelli,Nero d'Avola,87.0,"Delia Nivolelli, Italy",,,,,
605,Italy,Delle Venezie,White Blend,89.0,"Delle Venezie, Italy","Istituto Zooprofilattico Sperimentale delle Venezie, Legnaro, Padova, Veneto, Italia","(45.34851865, 11.957179705362917, 0.0)",45.34851865,11.957179705362917,0.0
606,Italy,Diano d'Alba,Dolcetto,87.0,"Diano d'Alba, Italy","Diano d'Alba, Cuneo, Piemonte, 12055, Italia","(44.6503104, 8.0275084, 0.0)",44.6503104,8.0275084,0.0
607,Italy,Dogliani,Dolcetto,88.0,"Dogliani, Italy","Dogliani, Cuneo, Piemonte, 12063, Italia","(44.5307822, 7.9472329, 0.0)",44.5307822,7.9472329,0.0
608,Italy,Dogliani Superiore,Dolcetto,90.0,"Dogliani Superiore, Italy",,,,,
609,Italy,Dolcetto d'Acqui,Dolcetto,87.0,"Dolcetto d'Acqui, Italy",,,,,
610,Italy,Dolcetto d'Alba,Dolcetto,87.0,"Dolcetto d'Alba, Italy",,,,,
611,Italy,Dolcetto d'Alba Superiore,Dolcetto,86.0,"Dolcetto d'Alba Superiore, Italy",,,,,
612,Italy,Dolcetto d'Asti,Dolcetto,86.0,"Dolcetto d'Asti, Italy",,,,,
613,Italy,Dolcetto di Diano d'Alba,Dolcetto,86.0,"Dolcetto di Diano d'Alba, Italy",,,,,
614,Italy,Dolcetto di Dogliani,Dolcetto,88.0,"Dolcetto di Dogliani, Italy",,,,,
615,Italy,Dolcetto di Dogliani Superiore,Dolcetto,87.0,"Dolcetto di Dogliani Superiore, Italy",,,,,
616,Italy,Eloro,Nero d'Avola,89.0,"Eloro, Italy","Eloro, ex Via Elorina, Masseria Agata, Noto, Siracusa, Sicilia, 96017, Italia","(36.84229325, 15.106977461244732, 0.0)",36.84229325,15.106977461244732,0.0
617,Italy,Emilia,Sparkling Blend,86.5,"Emilia, Italy","Emilia, Acquabona, Rosignano Marittimo, Livorno, Toscana, 57012, Italia","(43.4296529, 10.4822036, 0.0)",43.4296529,10.4822036,0.0
